
 Gee, these are the official results of the ultimate easter event called:

                 M E K K A   &   S Y M P O S I U M   9 8

                      ( w e   a r e   f a m i l y )


Multi-Channel Competition

8   45  FICKEN                      Bitbreaker/Metalvotze


ANSI Competition

1  183  Crime and Punishment  Shine
2  179  Insitol               Sad/Avenge
3  132  Schnitzel 98          Pandur/Black Maiden
4  125  vernetzt              zippy'circe'sr?'sdi'sth


Amiga Demo Competition

01  276  Aphrodisiae               Darken/Haujobb
02  195  Extra Lite                Abyss
03  175  Scraps of Beings          Mandkind
04  124  Face off                  Pippen/Venture
05  108  Puzzle                    PuRyX/Puzzle^Relish
05  108  La Fureur                 Clary+TOF, Crisp+Grey, Makno,
                                   DefBase+Steel,Fary+Shane
07  101  Cosmonautic Jazz          Lego
08   81  Megademo IV 2             Artwork
09   63  Lops Kakki - Reprocess 4  Jormas
10   61  e- (electrons at work)    TEK
11   52  Big-Rat                   FickÑÑÑnn
12   44  Karneval!                 Birdhouse Projects
13   14  Grasmaaierzak             The Knakworst Crew


Amiga 4K Competition

1  282  Fracture              Sniper/LSI
2  233  Together              Marc/PhaseTruce^HJB^S7
3  120  Der springende Punkt  Phase/DAB


Amiga 40K Competition

01  404  Superautodrome 2             Antibyte/Scoopex
02  188  Shibuya                      Haujobb
03  134  Tribute - The REAL OldSk00l  Dexter/Abyss
04  116  Family Business              Abyss
05  104  Can't Stop                   Grace/Nuance
06   97  Aquale                       Marc/HJD^S7^PhaseTruce
07   85  Art Nouveau                  Darkage
08   80  Tetsuo 2                     Optima, Curt Cool, Biforst, IB
09   78  Desire                       Depth
10   76  Ront Kolli                   Jormas
11   25  Trapatonytro                 Dr.Best/The Silent Smîrebrîds
12   22  ADrift                       Pharao/Cromatics+Klone&Booster


C 64 Music Competition

01  461  Living Black                  Taxim/Willow
02  120  Stars                         Leo/Willow
03  107  Compo-Tune                    BAX/NO NAME
04  101  Going the distance -
         going 4 Trinkhoffs            Rayden/AFL 1970
05   95  Licence                       Alien/WOW
06   87  Visions in Goa                Q-Man/Willow
07   67  Dark Entry                    Sonic/Smash
08   65  Watery                        Fanta/Oxyron
09   59  VHF0                          The Syndrom/TIA/Crest
10   39  To You 2                      Top Secret/CULT
11   39  Organic                       Brizz/Panic/Ascraeus
12   37  Melody Suxx                   Fantastic Zoo/TUM+Willow/Smash Designs
13   36  Reformation                   Manex/Anubis/Stardust
14   34  Till the end                  Lunatic/CULT
15   30  Gavelion                      Fuben/Oxyron
16   28  5h-Work                       Flip/Centric
17   16  LULU                          HeinmÅck/TUM+WIL/Blutpopel
18   13  In your eyes                  Floyd/Willow/Tempest/Panic
19    2  VHD                           Greatrix/CULT

-----------------------------------------------------------------------------
